"*Equivalente Produccion","Cantidad a la mano","Cantidad pronosticada","Costo","Creado el","Decoración de la actividad de excepción","Etiquetas de la plantilla del producto","Favorito","Impuestos del cliente","Nombre","Precio de venta","Qr Garantía","Referencia interna","Unidad de medida","Volumen"
"0.0","81.0","77.0","1035.8700000000001","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 29-110(NATURAL)","1303.14","","","Unidades","0.0"
"0.0","18.0","36.0","1035.8700000000001","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 29-110(WENGUE)","1303.14","","","Unidades","0.0"
"0.0","111.0","107.0","1989.15","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 33-110(NATURAL)","2502.38","","","Unidades","0.0"
"0.0","244.0","240.0","1989.15","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 33-110(WENGUE)","2502.38","","","Unidades","0.0"
"0.0","93.0","61.0","2970.0","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 37-170(NATURAL)","5200.0","","","Unidades","0.0"
"0.0","159.0","253.0","2970.0","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 37-170(WENGUE)","5200.0","","","Unidades","0.0"
"0.0","1145.0","1145.0","2970.0","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 37-200(NATURAL)","3540.0","","","Unidades","0.0"
"0.0","356.0","356.0","2970.0","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","FLM 37-200(WENGUE)","3540.0","","","Unidades","0.0"
"0.0","0.0","0.0","4760.0","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","PORTOVELHO-002","4956.0","","","m","0.0"
"0.0","230.34","195.66","3914.04","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","TELA INFANTIL","3451.5","","","m","0.0"
"0.0","3980.12","5390.68","3952.84","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","V1541","4071.0","","","m","0.0"
"0.0","5730.68","5723.04","4805.7300000000005","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","V1542","4956.0","","","m","0.0"
"0.0","3401.5","3943.7000000000003","6773.95","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","V1546","6991.5","","","m","0.0"
"0.0","6484.21","5515.05","3176.42","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","V1551","5575.5","","","m","0.0"
"0.0","4893.41","5199.67","4805.7300000000005","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","V1552","4956.0","","","m","0.0"
"0.0","9617.81","16515.27","2444.31","2025-01-14 16:53:51","","","Favorito","IVA Ventas 21%","V1553","4071.0","","","m","0.0"
"0.0","10539.93","13795.23","2269.08","2025-03-31 07:10:00","","","Favorito","IVA Ventas 21%","V1554","4071.0","","","m","0.0"
"0.0","5289.81","5146.51","4805.7300000000005","2025-08-25 08:51:45","","","Favorito","IVA Ventas 21%","V1555","1.0","","","m","0.0"
"0.0","3307.87","5807.87","3952.84","2025-08-27 10:09:41","","","Favorito","IVA Ventas 21%","V1556","1.0","","","m","0.0"
"0.0","2165.3","2526.56","3952.84","2025-03-31 09:09:15","","","Favorito","IVA Ventas 21%","V1557","4071.0","","","m","0.0"
